"","focal x comp","inoculum","q.05","q.95","estimate"
"1","ENGERO x ENGERO","sterilized+dead",2.07147529064649,2.94153993194428,2.48628308434703
"2","ENGERO x ENGERO","sterilized+living",1.95987662807741,2.46066727514827,2.25330411145732
"3","ENGERO x ENGERO","unsterilized+dead",1.52216806569247,2.12208252050968,1.82643909934486
"4","ENGERO x ENGERO","unsterilized+living",2.73454859584075,3.8339703318568,3.20849667282401
"5","ENGERO x MACHZU","sterilized+dead",1.12794362637382,2.30281796818647,1.83431881478002
"6","ENGERO x MACHZU","sterilized+living",1.69556221258297,2.91475562592962,2.28580956050948
"7","ENGERO x MACHZU","unsterilized+dead",2.119491172431,3.10045233978592,2.59419836064524
"8","ENGERO x MACHZU","unsterilized+living",2.03309254226735,2.90464570881074,2.51022209395599
"9","MACHZU x ENGERO","sterilized+dead",0.828870816225369,1.70894595609616,1.23991395785503
"10","MACHZU x ENGERO","sterilized+living",0.77816120899084,1.36730161139022,1.03761713392281
"11","MACHZU x ENGERO","unsterilized+dead",1.08383891456022,1.48611723328445,1.31340822005827
"12","MACHZU x ENGERO","unsterilized+living",1.09180430361397,1.63378263469875,1.30601710861383
"13","MACHZU x MACHZU","sterilized+dead",0.617049270148769,1.55796137950974,1.07883400723817
"14","MACHZU x MACHZU","sterilized+living",0.82787188732132,1.63661231159937,1.21825306054414
"15","MACHZU x MACHZU","unsterilized+dead",0.840303152529713,1.26491700866997,1.07552898717325
"16","MACHZU x MACHZU","unsterilized+living",0.881321254906704,1.32300956341329,1.14969909803234
