"","focal x comp","inoculum","q.05","q.95","estimate"
"1","ENGERO x ENGERO","sterilized+dead",2.13917706558845,2.94547111853359,2.52569343581477
"2","ENGERO x ENGERO","sterilized+living",2.14114947163325,2.52755136108059,2.33793647311476
"3","ENGERO x ENGERO","unsterilized+dead",1.61601922135058,2.13112667588131,1.86654757618059
"4","ENGERO x ENGERO","unsterilized+living",2.82548647664063,3.99605177157691,3.33300613028087
"5","ENGERO x MACHZU","sterilized+dead",1.25470801842373,2.35562903299886,1.89270677431352
"6","ENGERO x MACHZU","sterilized+living",1.90638314781365,2.82998274590251,2.37337015052801
"7","ENGERO x MACHZU","unsterilized+dead",2.46697880699419,3.48557280769356,2.93958897144823
"8","ENGERO x MACHZU","unsterilized+living",2.17654313249972,2.91614376380475,2.5626755985139
"9","MACHZU x ENGERO","sterilized+dead",0.935449581144853,1.65026954771721,1.27807957616515
"10","MACHZU x ENGERO","sterilized+living",0.868850283742358,1.35944554379773,1.09673062869024
"11","MACHZU x ENGERO","unsterilized+dead",1.14618769015663,1.5148911193554,1.33789838011652
"12","MACHZU x ENGERO","unsterilized+living",0.875448013834812,1.4414468765774,1.17094371413191
"13","MACHZU x MACHZU","sterilized+dead",0.735885453462482,1.46899189782986,1.10486133008254
"14","MACHZU x MACHZU","sterilized+living",1.03621521617634,1.6583870524574,1.32044046956915
"15","MACHZU x MACHZU","unsterilized+dead",0.953144078041141,1.26039620661102,1.11917632853362
"16","MACHZU x MACHZU","unsterilized+living",0.746595789009908,1.21776961263967,1.01887377378472
