focal,competitor,decay,treatment,BIC.1,BIC.2,order
ENGERO,ENGERO,dead,sterilized,50.207718849068414,52.978930826020346,1
ENGERO,ENGERO,dead,unsterilized,31.61042479188245,34.21404937533147,1
ENGERO,ENGERO,living,sterilized,10.203902167769698,12.971366694261922,1
ENGERO,ENGERO,living,unsterilized,49.183689739839224,51.065150967128666,1
ENGERO,MACHZU,dead,sterilized,46.57760170499425,41.46571031244914,2
ENGERO,MACHZU,dead,unsterilized,48.3896188262901,50.42862869235719,1
ENGERO,MACHZU,living,sterilized,39.96567380729237,41.671568790564216,1
ENGERO,MACHZU,living,unsterilized,38.929490886849976,40.506676819597644,1
MACHZU,ENGERO,dead,sterilized,31.231418273700996,33.625481801062726,1
MACHZU,ENGERO,dead,unsterilized,17.204060449365336,18.97685689785134,1
MACHZU,ENGERO,living,sterilized,28.876948037586104,31.169701731455852,1
MACHZU,ENGERO,living,unsterilized,24.7599950765078,25.09247511105955,1
MACHZU,MACHZU,dead,sterilized,27.75113028588416,29.6439618647208,1
MACHZU,MACHZU,dead,unsterilized,16.16219847189961,13.98682505558121,2
MACHZU,MACHZU,living,sterilized,29.750499849188515,31.58514089400984,1
MACHZU,MACHZU,living,unsterilized,18.567940089055334,19.022304499247586,1
