focal,competitor,decay,treatment,AIC.1,AIC.2,order
ENGERO,ENGERO,dead,sterilized,46.51954173256284,48.40831807591882,1
ENGERO,ENGERO,dead,unsterilized,23.73314978385332,25.18863965888907,1
ENGERO,ENGERO,living,sterilized,9.116773849540607,9.691214624614702,1
ENGERO,ENGERO,living,unsterilized,46.637765432005956,48.45643457302699,1
ENGERO,MACHZU,dead,sterilized,42.59083204809443,39.423762786189485,2
ENGERO,MACHZU,dead,unsterilized,47.66114839112777,49.41830435806,1
ENGERO,MACHZU,living,sterilized,37.940402058053735,39.044364487147305,1
ENGERO,MACHZU,living,unsterilized,36.28115132195016,37.8306878683168,1
MACHZU,ENGERO,dead,sterilized,28.5954793432934,30.582701767313278,1
MACHZU,ENGERO,dead,unsterilized,14.572386712585875,16.55379686574298,1
MACHZU,ENGERO,living,sterilized,26.788192890637156,26.885080774180164,1
MACHZU,ENGERO,living,unsterilized,23.07250694093275,24.990986426289965,1
MACHZU,MACHZU,dead,sterilized,25.15528828830832,26.459797924297362,1
MACHZU,MACHZU,dead,unsterilized,14.252587522862036,15.11425955982159,1
MACHZU,MACHZU,living,sterilized,25.30907371935382,26.61974795372795,1
MACHZU,MACHZU,living,unsterilized,17.406076507647292,13.80323279161286,2
