focal,competitor,decay,treatment,BIC.1,BIC.2,order
ENGERO,ENGERO,dead,sterilized,48.83730789928219,51.49867296487795,1
ENGERO,ENGERO,dead,unsterilized,26.050915950572666,28.278994547848193,1
ENGERO,ENGERO,living,sterilized,11.434540016259948,12.781569513573826,1
ENGERO,ENGERO,living,unsterilized,48.9555315987253,51.546789461986116,1
ENGERO,MACHZU,dead,sterilized,44.90859821481377,42.51411767514861,2
ENGERO,MACHZU,dead,unsterilized,49.97891455784711,52.508659247019125,1
ENGERO,MACHZU,living,sterilized,40.25816822477308,42.13471937610643,1
ENGERO,MACHZU,living,unsterilized,38.59891748866951,40.92104275727593,1
MACHZU,ENGERO,dead,sterilized,30.913245510012743,33.6730566562724,1
MACHZU,ENGERO,dead,unsterilized,16.89015287930522,19.644151754702108,1
MACHZU,ENGERO,living,sterilized,29.1059590573565,29.975435663139287,1
MACHZU,ENGERO,living,unsterilized,25.390273107652092,28.08134131524909,1
MACHZU,MACHZU,dead,sterilized,27.473054455027665,29.55015281325649,1
MACHZU,MACHZU,dead,unsterilized,16.57035368958138,18.204614448780717,1
MACHZU,MACHZU,living,sterilized,27.626839886073164,29.71010284268707,1
MACHZU,MACHZU,living,unsterilized,19.723842674366637,16.893587680571983,2
